name,min_frames,max_frames,mean_frames,median_frames,threshold_frames,min_lips,max_lips,mean_lips,median_lips,threshold_lips
R_105_295,0.05254991319444444,40.30194878472222,2.754843362475199,2.382523871527778,6.846388508466951,1.0,5543.0,654.3917525773196,458.0,1449.9503199743303
R_10_346,0.9786838107638889,7.093896484375,2.7080562739463585,2.257136501736111,4.01610775735028,0.0,1111.0,95.44444444444444,35.5,274.9163850622909
R_101_19,0.10808376736111111,1.9112337239583332,0.7081404335171566,0.6178786892361111,1.1529517365497313,1.0,828.0,130.30588235294118,41.0,324.90671201862995
R_101_260,0.1713617621527778,21.348141276041666,1.2288028345352564,0.47277994791666667,4.49796552514098,1.0,2681.0,226.58666666666667,37.0,738.1994393332172
R_107_156,0.5096766493055556,29.5158203125,2.9707489330150447,1.8672336154513889,6.805922240457382,0.0,6282.0,357.7378640776699,117.0,1113.542199485109
R_100_159,0.5223589409722222,2.5496223958333335,1.0742770842768723,0.9332459852430556,1.5216023162353671,0.0,962.0,79.91111111111111,22.0,251.51955718947897
R_103_58,0.2018771701388889,32.95398111979166,2.1677962094907417,1.3023307291666666,6.701140281340328,0.0,23.0,7.615384615384615,6.0,13.814496977879768
R_101_238,0.14739800347222223,31.336356336805554,2.077702591507523,1.0040104166666666,6.940717261844085,0.0,1607.0,172.45054945054946,35.0,475.5359747470666
R_10_53,0.6423838975694445,6.360135633680556,2.83447168848536,2.712160373263889,4.185155064758959,0.0,1046.0,100.27272727272727,22.0,292.00625016753276
R_105_235,0.065791015625,4.606257595486111,1.593575053418804,1.545876736111111,2.563983008372465,1.0,429.0,102.38461538461539,27.0,234.37035963902542
R_101_294,0.12887261284722223,30.984181857638887,1.6865797164351848,0.8876844618055555,6.200190258957428,0.0,3863.0,335.3534482758621,63.0,1050.9728840086084
R_101_292,0.22391710069444445,27.924337022569443,1.4776270723634009,0.793662109375,4.688491117027315,0.0,651.0,71.80681818181819,17.0,196.8347112474117
R_100_64,2.1406629774305554,25.975024956597224,10.73207423080633,8.009393988715278,18.29055998621515,409.0,2666.0,1062.0,842.0,1895.4614568172904
R_106_358,0.7106911892361111,2.743439670138889,1.6828956761853446,1.6771495225694446,2.1457934992992342,6.0,599.0,128.30434782608697,84.0,256.8038605244046
R_103_120,0.06826280381944444,45.66071506076389,0.8250514237813183,0.31596679687499996,5.292805123730846,0.0,993.0,78.93069306930693,15.0,252.33191940741347
R_107_391,0.7524565972222222,6.434633246527778,2.2102141988502364,1.8967013888888888,3.262926559942086,3.0,4193.0,680.2,340.0,1542.1655213522176
R_106_199,0.84265625,39.17030490451389,2.4898684303977263,1.5332964409722223,7.5565846163382275,13.0,775.0,163.42222222222222,80.0,351.19412745583736
R_104_232,0.10222547743055556,26.974483506944445,1.0091370498352923,0.3257546657986111,4.686164423419472,3.0,5057.0,463.05,77.0,1496.2111914411032
R_107_326,0.30184244791666665,22.744231770833334,1.1060265500142692,0.7836924913194444,3.6782706334377306,1.0,2251.0,319.44444444444446,82.5,867.6047233392444
R_105_25,0.07433919270833333,52.274970703125,1.7697143520349852,0.5206217447916667,7.57865123957478,0.0,1545.0,180.23728813559322,64.0,482.2052030875668
R_101_40,0.08263563368055556,32.79793619791667,1.2502599175347224,0.9724712456597222,4.475886349633571,0.0,2454.0,124.37373737373737,11.0,419.0407326381431
R_106_238,0.12059353298611111,1.1201410590277778,0.5976908406986533,0.5938351779513888,0.839572412456568,0.0,205.0,15.553846153846154,5.0,47.38949659565831
R_100_249,3.0928504774305554,7.7389116753472225,5.371659575508606,5.400634765625,6.567409081548449,0.0,20.0,3.9130434782608696,3.0,8.621158983089238
R_10_294,0.8608539496527777,4.039072265625,2.169702016111959,2.091799587673611,2.9135249627355044,0.0,193.0,20.7625,8.0,54.32112174985737
R_104_98,0.11273328993055555,124.37556640625,2.419523663949274,0.6978960503472222,14.498693482453595,0.0,54.0,10.616071428571429,8.0,20.707833924816185
R_103_244,0.4120594618055556,18.621175130208332,5.058581633391204,3.4036485460069446,9.683694928025659,1.0,880.0,125.59375,19.0,336.6933798218865
R_10_307,1.3461121961805556,2.598210720486111,1.8759035815329215,1.7933159722222223,2.2532318980572885,1.0,637.0,140.15384615384616,94.0,299.35731835885235
R_104_135,0.23142361111111112,34.160970052083336,1.635700434027778,1.1792198350694445,5.426534044358236,0.0,8.0,4.0,4.0,7.535533905932738
R_107_393,0.10922634548611111,13.267305772569445,0.8704217915331199,0.7225466579861111,2.0161570435170812,0.0,173.0,39.86046511627907,30.0,75.65049538240673
R_105_326,0.04869791666666667,0.7223893229166667,0.26371953529602155,0.22429850260416667,0.40335539161467115,0.0,610.0,55.652542372881356,25.0,151.27905606367207
R_101_127,0.06466796875,46.120365668402776,1.592592438682033,0.6021082899305555,8.163922720704464,0.0,18.0,6.096774193548387,5.0,10.469378339080837
R_10_59,1.1547829861111112,3.914345703125,2.5166651146053094,2.54642578125,3.0899379954800925,0.0,1506.0,167.66666666666666,46.5,432.0375535130928
R_10_309,0.676064453125,3.474955512152778,1.9029669998879937,1.8924186197916666,2.4560822039177417,1.0,2251.0,247.55913978494624,65.0,624.7258398272027
R_104_455,0.37621961805555554,23.62234592013889,1.949494765998357,1.1810026041666666,4.611987213909751,0.0,342.0,49.432432432432435,25.0,116.86990719380958
R_107_258,0.45768446180555555,2.764306640625,1.001237603593423,0.9440190972222222,1.3205049578559525,1.0,117.0,25.88235294117647,5.0,64.41405471416454
R_103_347,0.1694748263888889,68.76339084201389,2.2966353777985073,1.2035286458333334,10.502761305547644,0.0,1117.0,83.63636363636364,30.5,238.3547428274091
R_104_427,0.3465744357638889,1.6611631944444445,0.8135645937821502,0.7927864583333333,1.119683588602563,2.0,139.0,58.0,40.0,102.0016233466773
R_107_347,0.14067491319444445,35.35717881944444,1.1397332434275789,0.5695323350694445,5.270335023897299,0.0,840.0,99.26415094339623,43.0,266.83831373587407
